id,query,category,expected_has_answer,status,faithfulness,answer_relevancy,context_precision,data_sufficient,total_latency_ms
IUH_001,điểm chuẩn ngành công nghệ thông tin IUH năm 2025,diem_chuan,True,ok,0.8698,0.8739,0.7249,True,21146.036
IUH_002,học phí ngành kỹ thuật phần mềm IUH,hoc_phi,True,ok,0.8137,0.7304,0.7983,True,31310.368
IUH_003,phương thức xét tuyển học bạ của IUH,phuong_thuc_to_hop,True,ok,0.8307,0.8203,0.683,True,23008.256
IUH_004,tổ hợp xét tuyển ngành logistics IUH,phuong_thuc_to_hop,True,ok,0.8791,0.8572,0.7227,True,29907.036
IUH_005,chỉ tiêu tuyển sinh của IUH năm 2025,phuong_thuc_to_hop,True,ok,0.8078,0.7922,0.6821,True,25162.287
IUH_006,điều kiện xét tuyển thẳng vào IUH,phuong_thuc_to_hop,True,ok,0.8311,0.7792,0.7651,True,26775.47
IUH_007,mốc thờ i gian nộp hồ sơ xét tuyển IUH,phuong_thuc_to_hop,True,ok,0.8156,0.7923,0.8222,True,15943.309
IUH_008,lệ phí xét tuyển của IUH là bao nhiêu,phuong_thuc_to_hop,True,ok,0.801,0.7316,0.752,False,21430.511
HLU_001,điểm chuẩn ngành luật HLU,diem_chuan,True,ok,0.7769,0.8532,0.8189,True,21059.273
HLU_002,học phí ngành luật kinh tế HLU,hoc_phi,True,ok,0.8528,0.8305,0.617,True,21779.843
HLU_003,tổ hợp môn xét tuyển ngành luật thương mại HLU,phuong_thuc_to_hop,True,ok,0.8522,0.8298,0.6597,True,35184.407
HLU_004,phương thức xét tuyển kết hợp của HLU,phuong_thuc_to_hop,True,ok,0.9065,0.7488,0.6292,True,22777.458
HLU_005,chỉ tiêu tuyển sinh năm 2025 của HLU,phuong_thuc_to_hop,True,ok,0.7576,0.8113,0.7503,True,24020.443
HLU_006,thờ i gian công bố điểm chuẩn HLU,phuong_thuc_to_hop,True,ok,0.8476,0.7931,0.6812,False,20129.46
BVU_001,điểm sàn xét tuyển của BVU,diem_chuan,True,ok,0.8937,0.7951,0.6874,True,13944.823
BVU_002,học phí ngành quản trị kinh doanh BVU,hoc_phi,True,ok,0.9061,0.8389,0.7683,True,17820.075
BVU_003,phương thức xét tuyển đại học BVU 2025,phuong_thuc_to_hop,True,ok,0.855,0.7814,0.698,True,15741.671
BVU_004,tổ hợp xét tuyển ngành ngôn ngữ Anh BVU,phuong_thuc_to_hop,True,ok,0.8556,0.7791,0.7502,True,29819.324
BVU_005,hồ sơ xét tuyển vào BVU cần những gì,phuong_thuc_to_hop,True,ok,0.8264,0.7503,0.788,True,22657.778
DHT_001,điểm chuẩn ngành công nghệ thông tin DHT,diem_chuan,True,ok,0.8084,0.8516,0.764,True,23419.751
DHT_002,học phí chương trình chất lượng cao DHT,hoc_phi,True,ok,0.9007,0.774,0.7074,False,22698.339
DHT_003,tổ hợp môn xét tuyển ngành ngôn ngữ Anh DHT,phuong_thuc_to_hop,True,ok,0.826,0.819,0.7821,True,34056.303
DHT_004,chỉ tiêu ngành kỹ thuật điện tử viễn thông DHT,phuong_thuc_to_hop,True,ok,0.8424,0.8112,0.7917,True,26070.603
DHT_005,DHT có nhận chứng chỉ IELTS để quy đổi điểm không,phuong_thuc_to_hop,True,ok,0.9138,0.7422,0.7297,False,34736.624
DHA_001,điểm chuẩn khối ngành sức khỏe DHA,diem_chuan,True,ok,0.8904,0.8443,0.8461,False,48195.561
DHA_002,học phí ngành điều dưỡng DHA,hoc_phi,True,ok,0.8366,0.7793,0.7922,False,20027.883
DHA_003,phương thức xét tuyển ngành dược DHA,phuong_thuc_to_hop,True,ok,0.7191,0.7862,0.872,True,16670.221
DHA_004,điều kiện sơ tuyển sức khỏe khi vào DHA,phuong_thuc_to_hop,True,ok,0.831,0.8279,0.6729,False,26775.277
DDB_001,chỉ tiêu tuyển sinh DDB năm 2025,phuong_thuc_to_hop,True,ok,0.8291,0.8029,0.8415,True,25688.95
DDB_002,học phí ngành kế toán DDB,hoc_phi,True,ok,0.8096,0.6919,0.7644,True,17653.343
DDB_003,các tổ hợp môn xét tuyển DDB,phuong_thuc_to_hop,True,ok,0.892,0.7756,0.6206,True,36630.436
DDB_004,điểm chuẩn ngành quản trị kinh doanh DDB,diem_chuan,True,ok,0.8171,0.8617,0.7263,True,20103.343
HGH_001,điểm chuẩn ngành logistics HGH,diem_chuan,True,ok,0.8617,0.7221,0.7288,True,19728.095
HGH_002,học phí ngành quản trị dịch vụ du lịch HGH,hoc_phi,True,ok,0.8815,0.8168,0.6786,False,16773.822
HGH_003,phương thức xét tuyển của HGH,phuong_thuc_to_hop,True,ok,0.8721,0.8593,0.7021,True,13628.98
HGH_004,HGH có ký túc xá cho tân sinh viên không,out_of_scope,False,ok,0.7503,0.8239,0.667,False,16454.994
HHA_001,học phí các ngành HHA,hoc_phi,True,ok,0.8435,0.92,0.7512,False,12604.271
HHA_002,phương thức xét tuyển học bạ HHA,phuong_thuc_to_hop,True,ok,0.8102,0.7112,0.7321,True,19139.987
HHA_003,tổ hợp môn xét tuyển ngành ngôn ngữ Trung HHA,phuong_thuc_to_hop,True,ok,0.8265,0.7788,0.7855,True,30145.468
HHA_004,hạn nộp hồ sơ xét tuyển HHA là khi nào,phuong_thuc_to_hop,True,ok,0.7783,0.7309,0.6827,False,34709.33
LBH_001,điểm chuẩn ngành y khoa LBH,diem_chuan,True,ok,0.8578,0.7635,0.6875,False,24852.942
