id,query,category,expected_has_answer,status,faithfulness,answer_relevancy,context_precision,data_sufficient,total_latency_ms
IUH_001,điểm chuẩn ngành công nghệ thông tin IUH năm 2025,diem_chuan,True,ok,0.9122,0.818,0.905,True,22754.123
IUH_002,học phí ngành kỹ thuật phần mềm IUH,hoc_phi,True,ok,0.9276,0.7624,0.7619,True,27804.179
IUH_003,phương thức xét tuyển học bạ của IUH,phuong_thuc_to_hop,True,ok,0.8751,0.8242,0.819,False,27583.188
IUH_004,tổ hợp xét tuyển ngành logistics IUH,phuong_thuc_to_hop,True,ok,0.8359,0.884,0.8667,False,35115.973
IUH_005,chỉ tiêu tuyển sinh của IUH năm 2025,phuong_thuc_to_hop,True,ok,0.8726,0.8964,0.8481,False,39317.852
IUH_006,điều kiện xét tuyển thẳng vào IUH,phuong_thuc_to_hop,True,ok,0.8356,0.8584,0.7625,False,47538.78
IUH_007,mốc thờ i gian nộp hồ sơ xét tuyển IUH,phuong_thuc_to_hop,True,ok,0.9051,0.8375,0.8089,True,31509.439
IUH_008,lệ phí xét tuyển của IUH là bao nhiêu,phuong_thuc_to_hop,True,ok,0.8428,0.9011,0.8107,False,27395.93
HLU_001,điểm chuẩn ngành luật HLU,diem_chuan,True,ok,0.8829,0.8524,0.8919,False,30388.801
HLU_002,học phí ngành luật kinh tế HLU,hoc_phi,True,ok,0.9046,0.8806,0.8658,False,32064.208
HLU_003,tổ hợp môn xét tuyển ngành luật thương mại HLU,phuong_thuc_to_hop,True,ok,0.9557,0.8197,0.7893,True,35732.368
HLU_004,phương thức xét tuyển kết hợp của HLU,phuong_thuc_to_hop,True,ok,0.8374,0.8708,0.8877,False,21404.571
HLU_005,chỉ tiêu tuyển sinh năm 2025 của HLU,phuong_thuc_to_hop,True,ok,0.8654,0.798,0.7705,False,38271.061
HLU_006,thờ i gian công bố điểm chuẩn HLU,phuong_thuc_to_hop,True,ok,0.896,0.8772,0.8526,False,30334.375
BVU_001,điểm sàn xét tuyển của BVU,diem_chuan,True,ok,0.8734,0.8816,0.867,False,30324.293
BVU_002,học phí ngành quản trị kinh doanh BVU,hoc_phi,True,ok,0.8987,0.9036,0.8534,True,25274.838
BVU_003,phương thức xét tuyển đại học BVU 2025,phuong_thuc_to_hop,True,ok,0.8972,0.8434,0.8373,True,24493.877
BVU_004,tổ hợp xét tuyển ngành ngôn ngữ Anh BVU,phuong_thuc_to_hop,True,ok,0.8953,0.7671,0.8008,True,25697.601
BVU_005,hồ sơ xét tuyển vào BVU cần những gì,phuong_thuc_to_hop,True,ok,0.8512,0.8081,0.8035,False,28061.553
DHT_001,điểm chuẩn ngành công nghệ thông tin DHT,diem_chuan,True,ok,0.9598,0.8267,0.9181,True,29285.633
DHT_002,học phí chương trình chất lượng cao DHT,hoc_phi,True,ok,0.8227,0.8433,0.8498,False,27526.392
DHT_003,tổ hợp môn xét tuyển ngành ngôn ngữ Anh DHT,phuong_thuc_to_hop,True,ok,0.8934,0.8756,0.8676,True,39322.031
DHT_004,chỉ tiêu ngành kỹ thuật điện tử viễn thông DHT,phuong_thuc_to_hop,True,ok,0.8561,0.8169,0.8715,False,44292.494
DHT_005,DHT có nhận chứng chỉ IELTS để quy đổi điểm không,phuong_thuc_to_hop,True,ok,0.8623,0.7762,0.752,False,29467.668
DHA_001,điểm chuẩn khối ngành sức khỏe DHA,diem_chuan,True,ok,0.8632,0.8949,0.8685,False,36100.712
DHA_002,học phí ngành điều dưỡng DHA,hoc_phi,True,ok,0.9176,0.8386,0.8495,False,29658.447
DHA_003,phương thức xét tuyển ngành dược DHA,phuong_thuc_to_hop,True,ok,0.895,0.8245,0.8474,True,19690.841
DHA_004,điều kiện sơ tuyển sức khỏe khi vào DHA,phuong_thuc_to_hop,True,ok,0.8435,0.8218,0.7971,False,38067.555
DDB_001,chỉ tiêu tuyển sinh DDB năm 2025,phuong_thuc_to_hop,True,ok,0.8222,0.8643,0.7918,False,28167.283
DDB_002,học phí ngành kế toán DDB,hoc_phi,True,ok,0.8905,0.884,0.8668,True,21236.394
DDB_003,các tổ hợp môn xét tuyển DDB,phuong_thuc_to_hop,True,ok,0.8966,0.8351,0.7946,True,35074.372
DDB_004,điểm chuẩn ngành quản trị kinh doanh DDB,diem_chuan,True,ok,0.8968,0.7856,0.7732,True,17290.873
HGH_001,điểm chuẩn ngành logistics HGH,diem_chuan,True,ok,0.8471,0.8201,0.884,False,32640.147
HGH_002,học phí ngành quản trị dịch vụ du lịch HGH,hoc_phi,True,ok,0.8538,0.8411,0.918,False,32328.383
HGH_003,phương thức xét tuyển của HGH,phuong_thuc_to_hop,True,ok,0.8557,0.8769,0.764,False,28418.177
